id,total_sleep_records,sueño_continuo
1503960366,1,Continuo
1503960366,2,Interrumpido
1503960366,1,Continuo
1503960366,2,Interrumpido
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1503960366,1,Continuo
1644430081,1,Continuo
1644430081,1,Continuo
1644430081,1,Continuo
1644430081,1,Continuo
1844505072,1,Continuo
1844505072,1,Continuo
1844505072,1,Continuo
1927972279,3,Interrumpido
1927972279,1,Continuo
1927972279,2,Interrumpido
1927972279,1,Continuo
1927972279,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2026352035,1,Continuo
2320127002,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
2347167796,1,Continuo
3977333714,1,Continuo
3977333714,2,Interrumpido
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,2,Interrumpido
3977333714,1,Continuo
3977333714,2,Interrumpido
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,1,Continuo
3977333714,2,Interrumpido
3977333714,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4020332650,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,2,Interrumpido
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4319703577,1,Continuo
4388161847,1,Continuo
4388161847,2,Interrumpido
4388161847,2,Interrumpido
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,3,Interrumpido
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,2,Interrumpido
4388161847,1,Continuo
4388161847,2,Interrumpido
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,2,Interrumpido
4388161847,1,Continuo
4388161847,1,Continuo
4388161847,1,Continuo
4445114986,2,Interrumpido
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,2,Interrumpido
4445114986,2,Interrumpido
4445114986,2,Interrumpido
4445114986,2,Interrumpido
4445114986,2,Interrumpido
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4445114986,1,Continuo
4558609924,1,Continuo
4558609924,1,Continuo
4558609924,1,Continuo
4558609924,1,Continuo
4558609924,1,Continuo
4702921684,1,Continuo
4702921684,2,Interrumpido
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,2,Interrumpido
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
4702921684,1,Continuo
5553957443,1,Continuo
5553957443,2,Interrumpido
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,2,Interrumpido
5553957443,1,Continuo
5553957443,2,Interrumpido
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,2,Interrumpido
5553957443,2,Interrumpido
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,2,Interrumpido
5553957443,2,Interrumpido
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5553957443,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,1,Continuo
5577150313,2,Interrumpido
5577150313,1,Continuo
